"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","400","test_get_user_by_id[abc-404]","","Thu Jul 17 20:22:01 IST 2025","passed","Thu Jul 17 20:22:01 IST 2025","","test_reqres_api","",""
"Test deleting a user and checking for successful deletion.","1032","test_delete_user","","Thu Jul 17 20:21:59 IST 2025","passed","Thu Jul 17 20:22:00 IST 2025","","test_gorest_api","",""
"","395","test_get_user_by_id[999-404]","","Thu Jul 17 20:22:00 IST 2025","passed","Thu Jul 17 20:22:01 IST 2025","","test_reqres_api","",""
"","93","test_get_user_by_id[2-200]","","Thu Jul 17 20:22:00 IST 2025","passed","Thu Jul 17 20:22:00 IST 2025","","test_reqres_api","",""
"","166","test_get_user_by_id[1-200]","","Thu Jul 17 20:22:00 IST 2025","passed","Thu Jul 17 20:22:00 IST 2025","","test_reqres_api","",""
"","36","test_get_mock_user","","Thu Jul 17 20:22:00 IST 2025","passed","Thu Jul 17 20:22:00 IST 2025","","test_mock_api","",""
"Test fetching all users and checking response is a list.","1148","test_get_users","","Thu Jul 17 20:21:56 IST 2025","passed","Thu Jul 17 20:21:57 IST 2025","","test_gorest_api","",""
"","21","test_delete_mock_user","","Thu Jul 17 20:22:00 IST 2025","passed","Thu Jul 17 20:22:00 IST 2025","","test_mock_api","",""
"Test creating a user and checking all fields.","1050","test_create_user","","Thu Jul 17 20:21:57 IST 2025","failed","Thu Jul 17 20:21:58 IST 2025","","test_gorest_api","",""
"","22","test_post_mock_user","","Thu Jul 17 20:22:00 IST 2025","passed","Thu Jul 17 20:22:00 IST 2025","","test_mock_api","",""
"Test updating a user and checking updated fields.","969","test_update_user","","Thu Jul 17 20:21:58 IST 2025","failed","Thu Jul 17 20:21:59 IST 2025","","test_gorest_api","",""
"","12","test_put_mock_user","","Thu Jul 17 20:22:00 IST 2025","passed","Thu Jul 17 20:22:00 IST 2025","","test_mock_api","",""
"","1019","test_get_specific_user","","Thu Jul 17 20:22:02 IST 2025","passed","Thu Jul 17 20:22:03 IST 2025","","test_reqres_api","",""
